funcSMD6
1.01062e-45	5973	5992	3893	1.67932e-10	(2.58169e-23,1.67231e-23,-8.02784e-24,9.28611e-06,-9.0388e-06,0,0,0,0,0)
1.02882e-45	6001	6018	3910	2.23881e-09	(-2.8343e-23,-8.48223e-24,1.23913e-23,-1.02722e-05,-4.61875e-05,0,0,0,0,0)
3.39826e-45	5971	5985	3954	2.49736e-09	(-2.26198e-23,-4.90951e-23,2.18236e-23,-4.56541e-05,-2.0324e-05,0,0,0,0,0)
1.03313e-46	5983	6007	3759	1.7833e-09	(-3.18875e-24,-7.26321e-24,6.35534e-24,2.54162e-05,-3.3724e-05,0,0,0,0,0)
3.35267e-45	5966	5997	4309	2.44134e-09	(2.74502e-23,5.09761e-23,-7.64725e-25,-1.41931e-05,-4.73276e-05,0,0,0,0,0)
5.85927e-43	6003	6030	4191	2.05026e-09	(-2.21872e-22,-6.43181e-22,-3.50739e-22,4.40163e-05,1.06218e-05,0,0,0,0,0)
4.13064e-44	5939	5963	4270	3.37857e-09	(-1.00885e-22,-2.70966e-23,-1.7434e-22,-2.99806e-05,-4.9797e-05,0,0,0,0,0)
1.87685e-46	5977	5991	4002	1.09438e-09	(-7.13803e-26,5.95486e-24,1.23377e-23,2.61976e-05,2.02006e-05,0,0,0,0,0)
3.51272e-44	6008	6031	3912	1.37643e-09	(1.04035e-22,-4.03543e-23,1.50584e-22,-2.48076e-06,3.70172e-05,0,0,0,0,0)
6.03861e-46	6008	6019	3959	4.12246e-13	(-2.17418e-23,1.08694e-23,-3.60698e-24,-4.04338e-07,4.98755e-07,0,0,0,0,0)
5.90127e-45	5982	6005	3949	2.83713e-09	(-7.62303e-23,4.4794e-24,8.37549e-24,4.28201e-05,-3.16791e-05,0,0,0,0,0)
2.46049e-44	5944	5970	3929	8.95653e-10	(-4.64398e-23,-1.42589e-22,4.60072e-23,-2.83832e-05,9.48943e-06,0,0,0,0,0)
6.36413e-43	5993	6030	4211	2.0294e-09	(-2.36318e-22,6.13196e-22,-4.5228e-22,-8.79165e-06,4.41827e-05,0,0,0,0,0)
5.80412e-46	5991	6007	3974	1.8803e-09	(2.36312e-23,-4.44084e-24,1.50307e-24,4.28993e-05,-6.32089e-06,0,0,0,0,0)
8.82972e-44	5979	5997	4181	2.77158e-09	(-1.03507e-22,2.66493e-22,8.10243e-23,-3.66658e-05,-3.77783e-05,0,0,0,0,0)
